País,Código de País,Código de ubicación,Año,Hombres,Mujeres
   Thailand,THA,764,2015,1742708,1727512
   Timor-Leste,TLS,626,2015,5148,3372
   Viet Nam,VNM,704,2015,42168,30625
   Afghanistan,AFG,4,2015,171550,167882
   Bangladesh,BGD,50,2015,751741,670438
   Bhutan,BTN,64,2015,43396,7710
   India,IND,356,2015,2474515,2736332
   Iran (Islamic Republic of),IRN,364,2015,1487403,1242536
   Maldives,MDV,462,2015,56345,7928
   Nepal,NPL,524,2015,156361,353110
   Pakistan,PAK,586,2015,1845470,1661050
   Sri Lanka,LKA,144,2015,20745,18961
   Armenia,ARM,51,2015,77436,113763
   Azerbaijan*,AZE,31,2015,126656,137703
   Bahrain,BHR,48,2015,529546,192941
   Cyprus*,CYP,196,2015,77357,99336
   Georgia*,GEO,268,2015,33570,43115
   Iraq,IRQ,368,2015,209217,150135
   Israel,ISR,376,2015,912899,1098828
   Jordan,JOR,400,2015,1594808,1572153
   Kuwait,KWT,414,2015,1901855,964281
   Lebanon,LBN,422,2015,921661,994598
   Oman,OMN,512,2015,1552000,304226
   Qatar,QAT,634,2015,1416361,271279
   Saudi Arabia,SAU,682,2015,7461502,3309864
   State of Palestine*,PSE,275,2015,124710,148453
   Syrian Arab Republic,SYR,760,2015,426967,408749
   Turkey,TUR,792,2015,2390166,1956031
   United Arab Emirates,ARE,784,2015,5890170,2104956
   Yemen,YEM,887,2015,199390,180492
   Belarus,BLR,112,2015,495961,586944
   Bulgaria,BGR,100,2015,60058,63745
   Czechia,CZE,203,2015,239228,177226
   Hungary,HUN,348,2015,235719,239789
   Poland,POL,616,2015,256623,355232
   Republic of Moldova*,MDA,498,2015,43467,62907
   Romania,ROU,642,2015,146758,134290
   Russian Federation,RUS,643,2015,5715211,5928065
   Slovakia,SVK,703,2015,89011,88613
   Ukraine*,UKR,804,2015,2113924,2801218
   Channel Islands*,CHA,830,2015,39338,42969
   Denmark*,DNK,208,2015,291431,304445
   Estonia,EST,233,2015,80024,114640
   Faroe Islands*,FRO,234,2015,2783,2702
   Finland*,FIN,246,2015,159315,155541
   Iceland,ISL,352,2015,19070,20002
   Ireland,IRL,372,2015,376338,382918
   Isle of Man*,IMN,833,2015,20596,21642
   Latvia,LVA,428,2015,104011,161407
   Lithuania,LTU,440,2015,57508,78513
   Norway*,NOR,578,2015,389370,357005
   Sweden,SWE,752,2015,786870,815652
   United Kingdom*,GBR,826,2015,4021255,4385741
   Albania,ALB,8,2015,26517,25514
   Andorra,AND,20,2015,21485,20779
   Bosnia and Herzegovina,BIH,70,2015,18412,20185
   Croatia,HRV,191,2015,260473,300620
   Gibraltar*,GIB,292,2015,5591,5474
   Greece,GRC,300,2015,570529,672395
   Holy See*,VAT,336,2015,376,414
   Italy,ITA,380,2015,2637798,3167530
   Malta,MLT,470,2015,28332,24310
   Montenegro,MNE,499,2015,28178,43541
   North Macedonia,MNP,807,2015,54496,76234
   Portugal,PRT,620,2015,398390,466424
   San Marino,SMR,674,2015,2867,2328
   Serbia*,SRB,688,2015,355180,452261
   Slovenia,SVN,705,2015,134460,103156
   Spain*,ESP,724,2015,2884000,3007208
   Austria,AUT,40,2015,714537,768586
   Belgium,BEL,56,2015,869989,913499
   France*,FRA,250,2015,3808573,4069765
   Germany,DEU,276,2015,5037961,5182457
   Liechtenstein,LIE,438,2015,11605,12194
   Luxembourg,LUX,442,2015,126129,122759
   Monaco,MCO,492,2015,12599,13384
   Netherlands*,NLD,528,2015,952313,1044005
   Switzerland,CHE,756,2015,1103416,1154780
   Anguilla*,AIA,660,2015,2594,2877
   Antigua and Barbuda,ATG,28,2015,12524,15558
   Aruba*,ABW,533,2015,16108,20006
   Bahamas,BHS,44,2015,29963,29278
   Barbados,BRB,52,2015,15488,18987
"   Bonaire, Sint Eustatius and Saba*",BES,535,2015,0,0
   British Virgin Islands*,VGB,92,2015,9413,10122
   Cayman Islands*,CYM,136,2015,13406,12787
   Cuba,CUB,192,2015,2027,2622
   Curaçao*,CUW,531,2015,15467,22144
   Dominica,DMA,212,2015,4215,3878
   Dominican Republic,DOM,214,2015,353448,195841
   Grenada,GRD,308,2015,3502,3555
   Guadeloupe*,GLP,312,2015,38680,52276
   Haiti,HTI,332,2015,10036,8011
   Jamaica,JAM,388,2015,11765,11400
   Martinique*,MTQ,474,2015,29432,39742
   Montserrat*,MSR,500,2015,696,655
   Puerto Rico*,PRI,630,2015,130916,149578
   Saint Barthélemy*,BLM,652,2015,0,0
   Saint Kitts and Nevis,KNA,659,2015,3916,3527
   Saint Lucia,LCA,662,2015,4179,4494
   Saint Martin (French part)*,MAF,663,2015,0,0
   Saint Vincent and the Grenadines,VCT,670,2015,2355,2282
   Sint Maarten (Dutch part)*,SXM,534,2015,13077,14218
   Trinidad and Tobago,TTO,780,2015,24464,25557
   Turks and Caicos Islands*,TCA,796,2015,11759,10964
   United States Virgin Islands*,VIR,850,2015,26728,29993
   Belize,BLZ,84,2015,27473,27142
   Costa Rica,CRI,188,2015,197613,214084
   El Salvador,SLV,222,2015,20006,22053
   Guatemala,GTM,320,2015,35728,39124
   Honduras,HND,340,2015,20123,18207
   Mexico,MEX,484,2015,508232,505459
   Nicaragua,NIC,558,2015,20723,19538
   Panama,PAN,591,2015,94841,89869
   Argentina,ARG,32,2015,960310,1125991
   Bolivia (Plurinational State of),BOL,68,2015,74949,68059
   Brazil,BRA,76,2015,383457,326847
   Chile,CHL,152,2015,319714,320010
   Colombia,COL,170,2015,85158,74249
   Ecuador,ECU,218,2015,200352,187161
   Falkland Islands (Malvinas)*,FLK,238,2015,873,698
   French Guiana*,GUF,254,2015,50399,55709
   Guyana,GUY,328,2015,4794,3867
   Paraguay,PRY,600,2015,81303,75159
   Peru,PER,604,2015,91090,63684
   Suriname,SUR,740,2015,23544,19583
   Uruguay,URY,858,2015,35642,43157
   Venezuela (Bolivarian Republic of),VEN,862,2015,703458,700990
   Bermuda*,BMU,60,2015,9421,9791
   Canada,CAN,124,2015,3533164,3895493
   Greenland*,GRL,304,2015,3951,2058
   Saint Pierre and Miquelon*,SPM,666,2015,516,470
   United States of America*,USA,840,2015,23446873,24732004
   Australia*,AUS,36,2015,3343330,3386400
   New Zealand*,NZL,554,2015,502787,536949
   Fiji,FJI,242,2015,7421,6330
   New Caledonia*,NCL,540,2015,36181,32700
   Papua New Guinea,PNG,598,2015,18734,12206
   Solomon Islands,SLB,90,2015,1450,1135
   Vanuatu,VUT,548,2015,1583,1603
   Guam*,GUM,316,2015,39246,36843
   Kiribati,KIR,296,2015,1539,1380
   Marshall Islands,MHL,584,2015,2011,1273
   Micronesia (Fed. States of),FSM,583,2015,1473,1283
   Nauru,NRU,520,2015,1037,796
   Northern Mariana Islands*,MNP,580,2015,9100,12548
   Palau,PLW,585,2015,2996,1941
   American Samoa*,ASM,16,2015,11998,11515
   Cook Islands*,COK,184,2015,2090,2078
   French Polynesia*,PYF,258,2015,17136,12922
   Niue*,NIU,570,2015,319,269
   Samoa,WSM,882,2015,2151,2104
   Tokelau*,TKL,772,2015,564,621
   Tonga,TON,776,2015,2158,1796
   Tuvalu,TUV,798,2015,126,104
   Wallis and Futuna Islands*,WLF,876,2015,1035,1015
   Burundi,BY,108,2020,170125,174642
   Comoros,COM,174,2020,6044,6452
   Djibouti,DJI,262,2020,62863,56875
   Eritrea,ERI,232,2020,7815,6119
   Ethiopia,ETH,231,2020,536807,548710
   Kenya,KEN,404,2020,529975,520172
   Madagascar,MDG,450,2020,20262,15301
   Malawi,MWI,454,2020,93612,97750
   Mauritius*,MUS,480,2020,16003,12890
   Mayotte*,MYT,175,2020,51609,59931
   Mozambique,MOZ,508,2020,165490,173360
   Réunion*,REU,638,2020,66852,64917
   Rwanda,RWA,646,2020,259907,254000
   Seychelles,SYC,690,2020,9136,3914
   Somalia,SOM,706,2020,32285,26305
   South Sudan,SSD,728,2020,443405,438847
   Uganda,UGS,800,2020,827664,892649
   United Republic of Tanzania*,TZA,834,2020,213007,213010
   Zambia,ZMB,894,2020,97556,90399
   Zimbabwe,ZWE,716,2020,236561,179580
   Angola,AGO,24,2020,331401,325033
   Cameroon,CMR,120,2020,286254,292955
   Central African Republic,CAF,140,2020,46357,42189
   Chad,TCD,148,2020,249548,297946
   Congo,COG,178,2020,211403,176203
   Democratic Republic of the Congo,COD,180,2020,459052,493819
   Equatorial Guinea,GNQ,226,2020,177716,52902
   Gabon,GAB,266,2020,268032,148619
   Sao Tome and Principe,STP,678,2020,1067,1072
   Algeria,DZA,12,2020,132142,118236
   Egypt,EGY,818,2020,289552,254385
   Libya,LBY,434,2020,593797,232740
   Morocco,MAR,504,2020,52707,49651
   Sudan,SND,729,2020,685177,693970
   Tunisia,TUN,788,2020,31474,28671
   Western Sahara,ESH,732,2020,3205,2219
   Botswana,BWA,72,2020,62817,47451
   Eswatini,SWZ,748,2020,16921,15937
   Lesotho,LSO,426,2020,6537,5523
   Namibia,NAM,516,2020,59024,50367
   South Africa,ZAF,710,2020,1627294,1233201
   Benin,BEN,204,2020,185619,208657
   Burkina Faso,BFA,854,2020,344331,379658
   Cabo Verde,CPV,132,2020,7985,7803
   Côte d'Ivoire,CIV,384,2020,1420248,1144609
   Gambia,GMB,270,2020,113766,101893
   Ghana,GHA,288,2020,254403,222009
   Guinea,GIN,324,2020,71385,50052
   Guinea-Bissau,GNB,624,2020,8867,9078
   Liberia,LBR,430,2020,50694,37253
   Mali,MLI,466,2020,246308,239521
   Mauritania,MRT,478,2020,103203,79083
   Niger,NER,562,2020,162019,186037
   Nigeria,NGA,566,2020,713678,594890
   Saint Helena*,SHN,654,2020,306,131
   Senegal,SEN,686,2020,145591,129338
   Sierra Leone,SLE,694,2020,30408,23338
   Togo,TGO,768,2020,141807,138129
   Kazakhstan,KAZ,398,2020,1850097,1881976
   Kyrgyzstan,KGZ,417,2020,80456,118555
   Tajikistan,TJK,762,2020,119174,156857
   Turkmenistan,TKM,795,2020,92357,102563
   Uzbekistan,UZB,860,2020,543364,618643
   China*,CHN,156,2020,637952,401723
"   China, Hong Kong SAR*",HKG,344,2020,1107970,1854522
"   China, Macao SAR*",MAC,446,2020,187321,216169
"   China, Taiwan Province of China*",TWN,158,2020,0,0
   Dem. People's Republic of Korea,PRK,408,2020,24654,24895
   Japan,JPN,392,2020,1347156,1423840
   Mongolia,MNG,496,2020,14263,7082
   Republic of Korea,KOR,410,2020,958365,769817
   Brunei Darussalam,BRN,96,2020,63407,48552
   Cambodia,KHM,116,2020,42730,36611
   Indonesia,IDN,360,2020,206538,148967
   Lao People's Democratic Republic,LAO,418,2020,31393,17338
   Malaysia*,MYS,458,2020,2156265,1320295
   Myanmar,MMR,104,2020,41898,34548
   Philippines,PHL,608,2020,117105,108420
   Singapore,SGP,702,2020,1112517,1411131
   Thailand,THA,764,2020,1821857,1810639
   Timor-Leste,TLS,626,2020,5076,3323
   Viet Nam,VNM,704,2020,44471,32296
   Afghanistan,AFG,4,2020,69189,74909
   Bangladesh,BGD,50,2020,1093978,1021430
   Bhutan,BTN,64,2020,45524,8088
   India,IND,356,2020,2273912,2604792
   Iran (Islamic Republic of),IRN,364,2020,1517518,1279717
   Maldives,MDV,462,2020,61437,8642
   Nepal,NPL,524,2020,146930,340634
   Pakistan,PAK,586,2020,1812804,1463776
   Sri Lanka,LKA,144,2020,21196,19058
   Armenia,ARM,51,2020,78085,112264
   Azerbaijan*,AZE,31,2020,121007,131221
   Bahrain,BHR,48,2020,694238,241856
   Cyprus*,CYP,196,2020,85679,104687
   Georgia*,GEO,268,2020,34879,44489
   Iraq,IRQ,368,2020,201427,164339
   Israel,ISR,376,2020,886517,1067058
   Jordan,JOR,400,2020,1756637,1701054
   Kuwait,KWT,414,2020,2063430,1046729
   Lebanon,LBN,422,2020,839706,873056
   Oman,OMN,512,2020,1984025,388811
   Qatar,QAT,634,2020,1842785,383407
   Saudi Arabia,SAU,682,2020,9235130,4219712
   State of Palestine*,PSE,275,2020,124737,148047
   Syrian Arab Republic,SYR,760,2020,432279,436432
   Turkey,TUR,792,2020,3124165,2928487
   United Arab Emirates,ARE,784,2020,6419792,2296540
   Yemen,YEM,887,2020,223512,163601
   Belarus,BLR,112,2020,488713,578377
   Bulgaria,BGR,100,2020,91585,92778
   Czechia,CZE,203,2020,312941,227980
   Hungary,HUN,348,2020,303065,281502
   Poland,POL,616,2020,390449,426805
   Republic of Moldova*,MDA,498,2020,42743,61695
   Romania,ROU,642,2020,386946,318364
   Russian Federation,RUS,643,2020,5712089,5924822
   Slovakia,SVK,703,2020,100551,96610
   Ukraine*,UKR,804,2020,2149298,2848089
   Channel Islands*,CHA,830,2020,40190,43897
   Denmark*,DNK,208,2020,354476,363098
   Estonia,EST,233,2020,86767,112510
   Faroe Islands*,FRO,234,2020,3542,3270
   Finland*,FIN,246,2020,198822,187230
   Iceland,ISL,352,2020,35716,29708
   Ireland,IRL,372,2020,434756,436500
   Isle of Man*,IMN,833,2020,20987,22053
   Latvia,LVA,428,2020,97022,142400
   Lithuania,LTU,440,2020,73148,72036
   Norway*,NOR,578,2020,439206,413032
   Sweden,SWE,752,2020,1008006,995902
   United Kingdom*,GBR,826,2020,4464423,4895164
   Albania,ALB,8,2020,24908,23902
   Andorra,AND,20,2020,23333,22241
   Bosnia and Herzegovina,BIH,70,2020,16880,19162
   Croatia,HRV,191,2020,245564,282492
   Gibraltar*,GIB,292,2020,5656,5534
   Greece,GRC,300,2020,642639,697817
   Holy See*,VAT,336,2020,372,437
   Italy,ITA,380,2020,2965914,3421084
   Malta,MLT,470,2020,66055,48705
   Montenegro,MNE,499,2020,27995,43004
   North Macedonia,MNP,807,2020,54740,76571
   Portugal,PRT,620,2020,479936,522027
   San Marino,SMR,674,2020,2991,2552
   Serbia*,SRB,688,2020,362493,460518
   Slovenia,SVN,705,2020,162815,115149
   Spain*,ESP,724,2020,3272773,3569429
   Austria,AUT,40,2020,848395,889788
   Belgium,BEL,56,2020,984117,1021362
   France*,FRA,250,2020,4130737,4394139
   Germany,DEU,276,2020,7891635,7870822
   Liechtenstein,LIE,438,2020,12619,13258
   Luxembourg,LUX,442,2020,151653,146409
   Monaco,MCO,492,2020,12897,13704
   Netherlands*,NLD,528,2020,1134404,1223929
   Switzerland,CHE,756,2020,1222202,1269047
   Anguilla*,AIA,660,2020,2706,3009
   Antigua and Barbuda,ATG,28,2020,13120,16266
   Aruba*,ABW,533,2020,24307,29286
   Bahamas,BHS,44,2020,32161,31422
   Barbados,BRB,52,2020,15668,19201
"   Bonaire, Sint Eustatius and Saba*",BES,535,2020,0,0
   British Virgin Islands*,VGB,92,2020,10681,11483
   Cayman Islands*,CYM,136,2020,15017,14225
   Cuba,CUB,192,2020,1312,1712
   Curaçao*,CUW,531,2020,24958,32252
   Dominica,DMA,212,2020,4314,3970
   Dominican Republic,DOM,214,2020,382542,221252
   Grenada,GRD,308,2020,3292,3921
   Guadeloupe*,GLP,312,2020,37914,52292
   Haiti,HTI,332,2020,10499,8385
   Jamaica,JAM,388,2020,12008,11621
   Martinique*,MTQ,474,2020,29199,39425
   Montserrat*,MSR,500,2020,711,668
   Puerto Rico*,PRI,630,2020,114868,132264
   Saint Barthélemy*,BLM,652,2020,0,0
   Saint Kitts and Nevis,KNA,659,2020,4066,3659
   Saint Lucia,LCA,662,2020,4004,4334
   Saint Martin (French part)*,MAF,663,2020,0,0
   Saint Vincent and the Grenadines,VCT,670,2020,2443,2295
   Sint Maarten (Dutch part)*,SXM,534,2020,13822,15023
   Trinidad and Tobago,TTO,780,2020,39179,39670
   Turks and Caicos Islands*,TCA,796,2020,13325,12423
   United States Virgin Islands*,VIR,850,2020,26744,30009
   Belize,BLZ,84,2020,31210,30833
   Costa Rica,CRI,188,2020,263636,257093
   El Salvador,SLV,222,2020,20344,22423
   Guatemala,GTM,320,2020,39916,44395
   Honduras,HND,340,2020,20575,18620
   Mexico,MEX,484,2020,601509,596115
   Nicaragua,NIC,558,2020,21683,20484
   Panama,PAN,591,2020,167057,146108
   Argentina,ARG,32,2020,1062533,1219195
   Bolivia (Plurinational State of),BOL,68,2020,85961,78160
   Brazil,BRA,76,2020,582881,496827
   Chile,CHL,152,2020,830073,814942
   Colombia,COL,170,2020,953735,951658
   Ecuador,ECU,218,2020,406860,377927
   Falkland Islands (Malvinas)*,FLK,238,2020,1089,868
   French Guiana*,GUF,254,2020,56642,62607
   Guyana,GUY,328,2020,14497,16672
   Paraguay,PRY,600,2020,88311,81256
   Peru,PER,604,2020,642404,582115
   Suriname,SUR,740,2020,26271,21530
   Uruguay,URY,858,2020,50937,57330
   Venezuela (Bolivarian Republic of),VEN,862,2020,652823,671370
   Bermuda*,BMU,60,2020,9724,10015
   Canada,CAN,124,2020,3828361,4220962
   Greenland*,GRL,304,2020,3822,2077
   Saint Pierre and Miquelon*,SPM,666,2020,523,475
   United States of America*,USA,840,2020,24478996,26153840
   Australia*,AUS,36,2020,3812187,3873673
   New Zealand*,NZL,554,2020,668164,713560
   Fiji,FJI,242,2020,7601,6486
   New Caledonia*,NCL,540,2020,38284,34857
   Papua New Guinea,PNG,598,2020,18895,12173
   Solomon Islands,SLB,90,2020,1415,1105
   Vanuatu,VUT,548,2020,1619,1638
   Guam*,GUM,316,2020,41508,38964
   Kiribati,KIR,296,2020,1650,1476
   Marshall Islands,MHL,584,2020,2021,1277
   Micronesia (Fed. States of),FSM,583,2020,1515,1317
   Nauru,NRU,520,2020,1297,904
   Northern Mariana Islands*,MNP,580,2020,9183,12660
   Palau,PLW,585,2020,2888,2200
   American Samoa*,ASM,16,2020,12047,11561
   Cook Islands*,COK,184,2020,2290,2289
   French Polynesia*,PYF,258,2020,17150,12931
   Niue*,NIU,570,2020,319,269
   Samoa,WSM,882,2020,2031,1990
   Tokelau*,TKL,772,2020,586,652
   Tonga,TON,776,2020,2044,1698
   Tuvalu,TUV,798,2020,132,107
   Wallis and Futuna Islands*,WLF,876,2020,1030,1010
